page_url,title
https://comedy.shivatax.com/linear-mens-idol/,リニア「メンズアイドル」
https://comedy.shivatax.com/oswald-long-wallet/,オズワルド「長財布」
https://comedy.shivatax.com/moglider-kenichimikawa/,モグライダー「美川憲一」
https://comedy.shivatax.com/wagyuu-charismatic-hairdresser/,和牛「カリスマ美容師」
https://comedy.shivatax.com/chidori-sushi-bar/,千鳥 「寿司屋」
https://comedy.shivatax.com/kamaitachi-transferring/,かまいたち「転校」
https://comedy.shivatax.com/kamaitachi-scary-experience/,かまいたち「怖い体験」
https://comedy.shivatax.com/chidori-breeder/,千鳥 「飼育員」
https://comedy.shivatax.com/historical-play/,NONSTYLE「時代劇」
https://comedy.shivatax.com/nonstyle-yankee-manga/,NON STYLE「ヤンキー漫画」
https://comedy.shivatax.com/football-hour-squadron/,フットボールアワー「フットボールアワー戦隊」
https://comedy.shivatax.com/football-hour-wedding-pressconference/,フットボールアワー「結婚記者会見」
https://comedy.shivatax.com/maple-have-a-dog/,メイプル超合金「犬を飼いたい」
https://comedy.shivatax.com/get-out-wedding/,和牛「結婚式を抜け出すヒロイン」
https://comedy.shivatax.com/zombie/,和牛「ゾンビ」
https://comedy.shivatax.com/timekeeper-kindergarten-teachers/,タイムキーパー「幼稚園の先生」
https://comedy.shivatax.com/potatogod/,とろサーモン「芋神様」
https://comedy.shivatax.com/torosalmon-landlady-of-the-inn/,とろサーモン「旅館の女将」
https://comedy.shivatax.com/blackmayonnaise-combatsport/,ブラックマヨネーズ 「格闘技」
https://comedy.shivatax.com/blackmayonnaise-bowling/,ブラックマヨネーズ「ボウリング」
https://comedy.shivatax.com/trendyangel-halloween/,トレインディエンジェル「ハロウィン」
https://comedy.shivatax.com/yonsentoushin-nickname/,四千頭身「あだ名」
https://comedy.shivatax.com/this-is-pan-call-parent/,THIS IS パン「呼び出し」
https://comedy.shivatax.com/slimclub-funeral/,スリムクラブ「お葬式」
https://comedy.shivatax.com/slimclub-climbing/,スリムクラブ「登山」
https://comedy.shivatax.com/kamaitachi-after-school/,かまいたち「放課後」
https://comedy.shivatax.com/kamaitachi-wetsuit/,かまいたち「ウエットスーツ」
https://comedy.shivatax.com/kamaitachi-squeeze/,かまいたち「スクイズ」
https://comedy.shivatax.com/kamaitachi-vase/,かまいたち「花瓶」
https://comedy.shivatax.com/logic-quiz/,真空ジェシカ「論理クイズ」
https://comedy.shivatax.com/kamaitachi-escapegame/,かまいたち「脱出ゲーム」
https://comedy.shivatax.com/kamaitachi-reserve/,かまいたち「予約」
https://comedy.shivatax.com/the-guy-whos-just-in-the-mood/,ニューヨーク「雰囲気だけの奴」
https://comedy.shivatax.com/wedding-reception/,フットボールアワー「結婚披露宴」
https://comedy.shivatax.com/footballhour-familyrestaurant/,フットボールアワー「ファミリーレストラン」
https://comedy.shivatax.com/danseiblanco-inn/,男性ブランコ「温泉旅館」
https://comedy.shivatax.com/koutei-host/,コウテイ「ホスト」
https://comedy.shivatax.com/kamaitachi-tattoo/,かまいたち「タトゥー」
https://comedy.shivatax.com/momo-routine/,もも「ルーティーン」
https://comedy.shivatax.com/cursed-email/,かまいたち「呪いのメール」
https://comedy.shivatax.com/doortodoor-selling/,かまいたち 「訪問販売」
https://comedy.shivatax.com/its-not-fair/,かまいたち「フェアーじゃない」
https://comedy.shivatax.com/kamaitachi-kind-hearted-monster/,かまいたち「心の優しいバケモン」
https://comedy.shivatax.com/gunkan-lend-money/,軍艦「金貸して」
https://comedy.shivatax.com/kamaitachi-jerk/,かまいたち「クソ野郎」
https://comedy.shivatax.com/kamaitachi-ufjp/,かまいたち「UFJ」プロトタイプ？
https://comedy.shivatax.com/kamaitachi-likeness/,かまいたち「似顔絵」
